ONS code,Area,01/11/2004,10/10/2005,09/10/2006,08/10/2007,06/10/2008,05/10/2009,04/10/2010,03/10/2011,01/10/2012,07/10/2013,06/10/2014,05/10/2015,03/10/2016,02/10/2017,01/10/2018,07/10/2019,05/10/2020,04/10/2021,03/10/2022,02/10/2023,07/10/2024
E08000012,Liverpool,"9,949","8,890","8,357","8,638","7,571","6,488","5,237","4,633","4,819","3,575","2,978","3,285","3,449","3,889","3,703","3,956","4,631","4,880","5,129","5,351","3,582"
E07000017,Macclesfield,"1,659","1,671","1,664","1,650","1,844",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E08000003,Manchester,"11,306","10,059","11,062","11,224","10,972","10,211","8,849","8,093","3,792","2,661","1,996","1,599","1,365","1,324","1,132","1,218","1,455","2,130","2,184","1,875","1,700"
E08000004,Oldham,"2,388","2,117","2,510","2,288","2,440","1,866","1,822","1,803","1,495","1,261","1,254","1,219","1,189","1,126","1,154","1,164","1,227","1,084","1,135","1,193","1,008"
E07000122,Pendle,"1,768","1,717","1,747","1,906","2,196","1,936","1,836","1,770","1,575","1,206","1,022","1,031",900,944,862,708,765,633,569,632,647
E07000123,Preston,984,"1,174","1,034","1,048","1,073","1,103","1,118",994,"1,078",766,832,866,990,"1,074","1,150","1,143","1,304","1,072","1,021","1,190","1,324"
E07000124,Ribble Valley,298,310,293,288,272,273,277,270,278,294,206,201,206,200,198,207,191,180,298,316,279
E08000005,Rochdale,"2,077","1,829","1,971","1,764","2,088","1,907","1,747","1,684","1,576","1,124","1,046","1,008",901,858,852,847,"1,409","1,280","1,316","1,599","1,848"
E07000125,Rossendale,789,733,756,592,607,588,599,580,652,553,543,555,554,498,474,497,536,409,508,506,516
E08000006,Salford,"2,526","2,786","3,254","3,328","3,960","3,865","3,761","2,283","1,476","1,133",913,"1,121","1,008","1,004","1,163","1,238","1,052","1,187","1,010","1,086","1,069"
E08000014,Sefton,"3,264","2,588","2,690","3,254","2,650","2,927","2,635","2,009","1,927","1,757","1,729","1,662","1,640","1,856","1,918","1,811","2,155","2,131","1,998","2,118","1,659"
E07000031,South Lakeland,835,883,959,"1,006","1,045",975,"1,044","1,079","1,037","1,026",957,971,827,973,987,905,"1,039",862,900,[x],[x]
E07000126,South Ribble,324,32,426,445,440,442,500,530,551,630,461,417,375,419,413,432,560,388,350,370,422
E08000013,St. Helens,"1,459",945,887,"1,092","1,079","1,143","1,188","1,116",953,"1,025",971,"1,022",935,936,946,852,"1,223",886,877,883,851
E08000007,Stockport,"1,009","1,008","1,205","1,358","1,555","1,597","1,500","1,399","1,332","1,217","1,159","1,059","1,087","1,119","1,108","1,518","1,879","1,341","1,275","1,446","1,288"
E08000008,Tameside,"2,282","2,365","2,345","2,259","2,277","2,113","1,874","1,709","1,295","1,164","1,152","1,042",997,"1,080",981,962,982,809,801,926,922
E08000009,Trafford,879,"1,135","1,137","1,340","1,361","1,367","1,038","1,110",950,876,617,637,687,702,774,841,829,912,"1,071","1,095","1,088"
E07000018,Vale Royal,431,525,314,456,553,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E06000007,Warrington,"1,284","1,507","1,614",909,"1,152",951,916,779,780,480,807,781,666,585,723,645,797,643,637,677,653
E07000127,West Lancashire,727,817,825,742,730,789,776,844,747,683,641,557,636,604,537,607,687,702,653,562,630
E06000064,Westmorland and Furness,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,925","2,581"
E08000010,Wigan,"1,577","1,654","2,043","2,150","2,498","2,537","2,296","2,237","2,266","1,871","1,681","1,644","1,341","1,359","1,342",870,"1,111","1,285","1,286","1,093",933
E08000015,Wirral,"3,000","3,048","2,893","3,402","3,212","2,941","2,982","2,609","2,495","2,219","2,047","2,208","2,014","1,936","2,097","1,920","2,231","2,080","1,901","2,072","1,781"
E07000128,Wyre,553,516,634,715,754,792,701,701,619,557,315,229,228,181,139,110,93,82,65,60,56
E12000003,Yorkshire and The Humber,"36,550","35,715","36,336","40,084","43,352","41,512","38,187","35,420","32,924","27,945","27,058","26,750","26,082","27,009","28,071","28,884","32,327","27,001","27,372","28,419","29,664"
E08000016,Barnsley,"1,564","1,858","1,839","2,233","2,306","2,051","2,173","2,054","1,802","1,620","1,554","1,312","1,288","1,238","1,162","1,125","1,419",999,"1,011","1,083","1,185"
